player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Johncarlos Miller II,148343,TE,TEXAS TECH,14,9.6,0,64.3,60.0,3,5,2,0.0,0,4,315,0,80.1,68.5,53.9,73.5,48.1,57.2,131,1,17,31.0,71,229,3,9,66.4,152,34.5,79,48.8,14,0,6.1,14,77,30,3.3,8.6,0.51
Marcellous Hawkins,200025,HB,VA TECH,11,-2.1,3,78.6,,0,0,0,15.4,2,5,337,0,51.7,88.7,86.0,72.3,58.4,0.0,0,0,19,34.7,67,193,1,11,61.7,119,11.4,22,114.0,14,1,0.0,0,79,105,9.5,7.2,0.66
KeDarius Wade,176365,WR,LA LAFAYET,9,19.5,0,14.3,25.0,1,4,0,50.0,2,2,207,0,17.0,62.9,47.7,,46.5,0.0,0,2,19,0.0,0,45,1,2,91.1,41,11.1,5,0.0,14,0,88.9,40,25,3,1.5,12.5,0.61
Bill Davis,176332,HB,LA LAFAYET,13,0.1,0,71.4,0.0,0,1,0,9.1,1,3,207,0,62.9,90.3,75.9,56.3,53.0,0.0,0,0,26,30.9,55,178,0,10,64.6,115,5.1,9,85.1,14,0,6.7,12,79,81,8.1,7.9,0.69
Rico Powers Jr.,124250,WR,LA MONROE,4,26.5,0,35.7,0.0,0,4,0,0.0,0,3,209,1,49.8,13.7,51.9,,52.0,0.0,0,1,21,0.0,0,69,2,5,92.8,64,10.1,7,17.9,14,0,89.9,62,53,-3,-0.6,10.6,0.83
Micah Ford,188865,HB,STANFORD,9,-1.1,6,78.6,100.0,1,1,0,8.3,1,4,300,0,66.1,68.9,81.8,68.9,59.7,0.0,0,0,54,29.1,44,151,0,11,64.9,98,0.7,1,102.1,14,0,4.0,6,119,129,11.7,10.8,1.21
Lynel Billups-Williams,171271,WR,MIAMI OH,14,8.3,1,42.9,0.0,0,2,0,14.3,1,2,221,0,53.4,87.4,51.7,,49.8,0.8,1,0,15,0.0,0,118,0,6,95.8,113,71.2,84,53.0,14,0,22.9,27,51,34,5.7,8.5,0.45
Titus Lyons,156861,TE,TEXAS ST,13,4.9,0,85.7,,0,0,1,7.7,1,7,314,0,68.3,26.1,56.2,61.7,52.3,50.2,132,0,24,27.8,73,263,1,12,67.7,178,38.4,101,134.2,14,3,8.7,23,94,53,4.4,7.8,0.53
Austin Smith,146318,TE,SM HOUSTON,12,7.7,0,50.0,60.0,3,5,2,0.0,0,2,281,0,78.5,66.7,50.6,57.1,53.6,45.3,81,0,27,32.4,58,179,2,7,64.8,116,53.1,95,63.1,14,0,0.0,0,65,24,3.4,9.3,0.56
Dennis Murray Jr.,189969,HB,GA STATE,9,0.8,3,100.0,,0,0,0,0.0,0,4,175,0,83.8,75.4,63.6,21.4,72.5,1.1,1,0,52,8.0,7,88,0,14,86.4,76,6.8,6,120.5,14,1,9.1,8,101,90,6.4,7.2,1.33
Donnell Gee Jr.,204370,WR,TULSA,6,18.1,1,35.7,28.6,2,7,0,0.0,0,4,320,0,76.3,67.0,59.1,64.4,60.0,0.0,0,0,50,1.0,1,105,1,5,88.6,93,23.8,25,68.8,14,0,76.2,80,124,32,6.4,24.8,1.33
Bricen Brantley,174808,WR,WYOMING,9,17.0,1,35.7,0.0,0,5,0,16.7,1,1,351,0,49.8,70.7,53.4,,52.5,0.0,0,0,20,0.0,0,49,0,5,100.0,49,8.2,4,44.3,14,0,91.8,45,33,19,3.8,6.6,0.67
Jer'Michael Carter,172737,WR,OKLAHOMA,13,10.6,0,64.3,66.7,2,3,0,0.0,0,5,261,0,80.1,67.5,60.9,,59.0,0.0,0,1,22,0.0,0,98,0,9,96.9,95,18.4,18,56.0,14,0,81.6,80,101,23,2.6,11.2,1.06
Oscar Adaway III,100835,HB,S CAROLINA,11,3.9,5,57.1,,0,0,0,20.0,2,3,289,0,41.2,81.1,58.7,16.9,51.2,6.2,7,2,19,11.5,13,113,0,8,85.0,96,2.7,3,31.5,14,0,1.8,2,72,81,10.1,9.0,0.75
Jalen Dupree,191053,HB,COLO STATE,9,1.9,1,85.7,,0,0,0,7.7,1,3,144,1,67.5,74.0,71.7,73.0,47.3,0.0,0,0,33,28.1,48,171,1,12,66.1,113,1.8,3,91.4,14,0,0.6,1,83,63,5.3,6.9,0.73
William Fowles,174702,WR,APP STATE,8,12.1,0,42.9,0.0,0,2,0,25.0,2,5,108,0,33.8,66.2,50.5,,51.9,0.0,0,1,19,0.0,0,128,0,6,94.5,121,28.1,36,33.6,14,0,71.9,92,86,26,4.3,14.3,0.71
Keyjuan Brown,174695,HB,LOUISVILLE,10,0.3,1,85.7,,0,0,0,0.0,0,2,210,0,82.7,73.9,86.8,21.2,63.3,0.0,0,0,38,17.4,27,155,0,12,79.4,123,5.2,8,101.8,14,0,3.9,6,118,126,10.5,9.8,0.96
Jake Bruno,151266,TE,OHIO,13,4.7,2,64.3,100.0,3,3,0,18.2,2,6,259,0,44.3,68.9,58.9,55.4,57.9,37.0,47,0,16,24.4,31,127,1,9,70.1,89,38.6,49,121.1,14,2,6.3,8,87,56,6.2,9.7,0.98
Sam Scott,150701,HB,WYOMING,12,-0.1,3,78.6,100.0,2,2,0,8.3,1,5,351,0,68.7,86.4,75.2,66.9,68.0,0.0,0,0,36,30.4,48,158,0,11,65.8,104,0.0,0,124.1,14,1,1.9,3,113,108,9.8,10.3,1.09
Tiger Bachmeier,174177,WR,BYU,14,11.9,0,50.0,0.0,0,2,1,0.0,0,3,128,1,78.5,28.2,56.9,,53.1,0.0,0,0,17,0.0,0,105,1,7,97.1,102,35.2,37,61.3,14,0,64.8,68,59,39,5.6,8.4,0.58
Trent Battle,144683,HB,TCU,12,0.2,1,76.9,,0,0,0,9.1,1,2,305,0,62.9,84.3,72.8,56.2,49.2,0.7,1,0,15,21.3,29,136,1,10,75.0,102,11.8,16,87.0,13,0,11.0,15,65,67,6.7,6.5,0.64
Smith Snowden,176662,CB,UTAH,5,-2.2,5,100.0,,0,0,0,0.0,0,3,328,0,82.7,74.1,70.8,,66.3,0.0,0,0,11,0.0,0,38,4,13,100.0,38,47.4,18,84.9,13,0,31.6,12,57,85,6.5,4.4,1.5
Brayden Loftin,157773,TE,KANSAS ST,12,8.2,1,46.2,25.0,1,4,0,33.3,3,3,199,0,22.7,66.2,50.5,71.3,46.6,44.8,43,0,18,11.5,11,96,1,6,86.5,83,46.9,45,58.2,13,0,7.3,7,55,24,4.0,9.2,0.66
Dorian Lewis,171559,HB,LA MONROE,12,-2.8,3,84.6,0.0,0,1,0,0.0,0,2,209,0,82.7,78.8,66.0,59.0,67.5,0.0,0,0,15,42.0,42,100,0,11,51.0,51,13.0,13,86.5,13,0,1.0,1,62,120,10.9,5.6,1.22
Kevorian Barnes,145514,HB,TCU,7,-1.5,1,76.9,,0,0,0,9.1,1,2,305,0,62.9,87.1,77.3,68.4,60.2,0.0,0,1,12,28.9,39,135,0,10,68.9,93,5.2,7,49.5,13,0,13.3,18,48,67,6.7,4.8,0.52
Lane Wadle,184299,TE,GA STATE,12,5.7,0,69.2,50.0,1,2,0,0.0,0,5,175,1,80.1,18.7,48.6,54.1,53.5,62.9,105,1,17,27.5,46,167,1,9,67.1,112,29.9,50,56.3,13,0,5.4,9,89,60,6.7,9.9,0.79
Joshua Porter,183447,WR,USF,12,7.0,2,84.6,,0,0,0,0.0,0,4,327,0,81.5,78.8,61.1,,59.3,2.2,2,0,26,0.0,0,90,0,11,94.4,85,76.7,69,120.2,13,1,21.1,19,87,36,3.3,7.9,1.02
Bryce Dorsey,193162,WR,MEMPHIS,6,6.5,1,61.5,,0,0,0,27.3,3,1,218,0,27.8,67.1,56.2,,55.9,3.2,1,0,49,0.0,0,31,0,8,96.8,30,96.8,30,75.5,13,0,0.0,0,69,94,11.8,8.6,2.3
CJ Baxter,173153,HB,TEXAS,7,0.4,0,92.3,100.0,1,1,0,7.7,1,1,311,0,66.1,63.2,61.1,39.9,56.2,0.0,0,0,6,24.2,24,99,0,12,74.7,74,2.0,2,105.4,13,1,4.0,4,41,38,3.2,3.4,0.55
Malachi Thomas,144107,HB,PURDUE,12,1.1,1,84.6,0.0,0,1,0,0.0,0,7,273,0,82.2,82.7,70.3,80.9,76.4,0.0,0,0,44,24.0,29,121,0,11,71.9,87,1.7,2,138.0,13,2,5.0,6,99,89,8.1,9.0,1.14
TJ Pride,189866,WR,NEW MEX ST,12,10.3,1,61.5,,0,0,0,11.1,1,3,242,0,58.9,81.5,47.4,,49.6,0.0,0,0,34,0.0,0,174,0,8,94.3,164,94.8,165,112.0,13,1,5.2,9,103,36,4.5,12.9,0.63
Chris Culliver,175393,WR,N CAROLINA,6,17.4,0,38.5,0.0,0,2,0,37.5,3,4,245,0,20.0,69.0,51.4,,51.9,0.0,0,0,51,0.0,0,84,1,5,95.2,80,15.5,13,91.8,13,1,84.5,71,100,6,1.2,20.0,1.25
Nate Sullivan Jr.,138317,TE,LA MONROE,12,4.2,0,46.2,0.0,0,1,1,25.0,2,4,209,0,33.4,67.7,43.8,48.2,50.0,50.0,69,1,14,30.4,42,138,6,6,65.9,91,34.8,48,23.9,13,0,4.3,6,48,27,4.5,8.0,0.53
Aviyon Smith-Mack,171609,WR,SM HOUSTON,4,7.5,2,61.5,,0,0,0,0.0,0,3,281,0,80.1,67.5,55.3,,58.7,0.0,0,0,12,0.0,0,72,1,8,90.3,65,100.0,72,69.1,13,0,0.0,0,49,21,2.6,6.1,0.75
Cameron Pettaway,191013,HB,BOWL GREEN,9,3.1,6,61.5,0.0,0,1,0,11.1,1,5,122,0,58.9,85.1,72.8,25.2,60.7,0.0,0,1,73,19.8,21,106,0,8,78.3,83,10.4,11,105.4,13,2,2.8,3,139,122,15.3,17.4,1.67
Ross Fournet,145218,WR,FIU,12,4.8,2,76.9,100.0,2,2,0,16.7,2,5,166,0,49.5,71.1,52.0,79.1,55.3,0.0,0,0,20,2.4,2,85,2,10,92.9,79,44.7,38,93.8,13,0,54.1,46,86,52,5.2,8.6,1.09
Micah Gilbert,184095,WR,NOTRE DAME,8,13.9,2,69.2,0.0,0,3,0,0.0,0,8,258,0,80.1,67.5,76.6,,78.5,2.2,1,1,26,0.0,0,45,0,9,97.8,44,6.7,3,83.2,13,1,91.1,41,93,32,3.6,10.3,2.11
Ben Turner,198713,WR,MARSHALL,10,5.0,0,69.2,0.0,0,1,0,10.0,1,4,214,0,61.0,68.9,62.4,,64.0,0.0,0,0,17,0.0,0,51,0,9,96.1,49,100.0,51,77.7,13,0,0.0,0,56,53,5.9,6.2,1.14
Jarod Bowie,170410,WR,W VIRGINIA,10,6.0,2,69.2,0.0,0,1,0,10.0,1,5,343,0,61.0,72.8,61.5,,58.6,0.0,0,0,18,0.0,0,68,0,9,97.1,66,100.0,68,86.1,13,0,0.0,0,82,69,7.7,9.1,1.24
Sean Patrick,190981,HB,AKRON,10,3.5,2,84.6,,0,0,0,0.0,0,8,102,0,82.2,87.1,67.1,29.3,73.9,0.0,0,0,22,18.0,22,122,0,11,77.0,94,5.7,7,110.3,13,0,1.6,2,136,107,9.7,12.4,1.45
DeKalon Taylor,168419,HB,COLORADO,4,2.8,4,76.9,,0,0,0,9.1,1,6,143,0,62.9,48.2,65.6,57.3,77.8,0.0,0,0,22,11.1,7,63,0,10,85.7,54,14.3,9,139.7,13,2,11.1,7,106,79,7.9,10.6,1.96
Star Thomas,156926,HB,TENNESSEE,13,0.2,6,84.6,100.0,1,1,0,15.4,2,7,307,0,49.5,87.6,82.8,53.4,61.1,0.0,0,0,21,20.7,29,140,0,11,77.1,108,1.4,2,143.4,13,2,0.0,0,116,119,10.8,10.5,1.07
Cooper Perry,199876,WR,OREGON,12,4.1,1,76.9,100.0,2,2,0,0.0,0,1,264,1,80.9,19.7,47.0,,46.5,1.9,2,1,8,0.0,0,103,0,10,96.1,99,81.6,84,46.6,13,0,15.5,16,25,9,0.9,2.5,0.25
Micah Woods,171218,WR,S ALABAMA,9,3.3,3,84.6,33.3,1,3,0,0.0,0,6,288,0,81.5,71.9,64.0,,69.3,0.0,0,0,33,0.0,0,46,1,11,91.3,42,32.6,15,128.5,13,1,67.4,31,113,109,9.9,10.3,2.69
Jadon Thompson,123583,WR,MEMPHIS,13,11.5,0,53.8,50.0,1,2,0,30.0,3,2,218,0,29.8,74.7,52.9,,52.3,1.1,1,0,40,0.0,0,93,0,7,93.5,87,90.3,84,72.6,13,0,8.6,8,80,11,1.6,11.4,0.92
Anthony Carrie,183214,HB,FIU,13,-0.8,0,84.6,0.0,0,1,0,8.3,1,5,166,0,64.6,60.7,63.1,30.0,59.5,0.0,0,0,15,27.5,49,178,0,11,67.4,120,3.9,7,85.6,13,0,4.5,8,59,75,6.8,5.4,0.49
Rickey Hunt Jr.,171350,HB,MIDDLE TN,8,-1.8,3,100.0,,0,0,0,0.0,0,4,224,0,83.3,79.9,65.8,36.6,59.0,0.0,0,0,34,16.3,22,135,0,13,82.2,111,12.6,17,98.4,13,0,6.7,9,99,122,9.4,7.6,0.89
Tyshawn Russell,175926,WR,SYRACUSE,3,6.3,1,69.2,0.0,0,1,0,18.2,2,4,304,0,44.7,69.4,59.3,,60.0,0.0,0,1,28,0.0,0,54,0,9,92.6,50,72.2,39,54.3,13,0,27.8,15,83,41,4.6,9.2,1.66
Jaydon Johnson,156741,WR,LA LAFAYET,12,12.4,2,46.2,50.0,1,2,0,14.3,1,2,207,0,53.4,66.2,51.7,,49.7,0.0,0,1,14,0.0,0,129,0,6,90.7,117,82.9,107,24.8,13,0,17.1,22,51,17,2.8,8.5,0.44
Rico Walker,170209,TE,PURDUE,10,6.2,2,69.2,66.7,2,3,2,10.0,1,4,273,0,61.4,67.5,51.0,49.5,62.8,61.1,66,1,30,21.3,23,108,3,9,73.1,79,29.6,32,59.8,13,0,9.3,10,100,54,6.0,11.1,1.27
Jordon Davison,199872,HB,OREGON,14,0.5,1,92.3,100.0,1,1,0,7.7,1,3,264,0,66.1,75.8,89.1,83.5,53.4,1.6,2,0,14,25.6,32,125,0,12,72.8,91,6.4,8,86.5,13,0,8.8,11,62,58,4.8,5.2,0.68
Cyncir Bowers,199540,HB,W VIRGINIA,9,2.0,5,61.5,0.0,0,2,0,20.0,2,2,343,0,41.2,47.0,55.3,33.0,49.4,2.8,3,0,90,20.8,22,106,0,8,75.5,80,14.2,15,122.0,13,1,20.8,22,134,152,19.0,16.8,1.68
Lawson Albright,145044,TE,NWESTERN,13,8.0,0,69.2,100.0,3,3,0,10.0,1,2,256,0,61.4,71.8,51.4,75.3,45.3,68.6,151,0,23,25.5,56,220,0,9,68.6,151,20.0,44,110.4,13,1,5.9,13,78,32,3.6,8.7,0.52
Jalen Berger,129914,HB,UCLA,12,-0.2,3,84.6,,0,0,0,0.0,0,4,324,0,82.2,54.0,74.2,30.3,67.9,0.8,1,0,15,28.8,38,132,0,11,70.5,93,6.8,9,130.9,13,2,3.0,4,77,80,7.3,7.0,0.83
Dawson Johnson,190274,TE,DOMINION,13,6.9,1,76.9,100.0,2,2,0,0.0,0,5,263,0,81.5,68.2,52.9,58.6,55.6,13.5,23,0,17,24.6,42,171,0,10,72.5,124,48.0,82,123.6,13,1,7.6,13,99,52,5.2,9.9,0.8
Jordan Malau'ulu,184238,WR,FRESNO ST,13,9.7,1,69.2,100.0,1,1,0,0.0,0,4,169,0,80.1,86.7,59.6,,58.4,0.0,0,0,18,0.0,0,116,1,9,94.8,110,19.8,23,88.0,13,0,80.2,93,88,14,1.6,9.8,0.8
Jacob Barrick,163938,TE,W VIRGINIA,10,3.9,3,69.2,,0,0,0,18.2,2,3,343,1,44.7,18.7,55.2,70.9,50.1,55.2,53,0,15,27.1,26,96,0,9,71.9,69,41.7,40,81.9,13,0,2.1,2,69,54,6.0,7.7,1.0
Ky Woods,163868,HB,NEVADA,11,2.4,7,76.9,,0,0,0,9.1,1,5,239,0,64.6,48.7,65.0,73.8,86.1,5.7,2,1,47,14.3,5,35,0,10,80.0,28,25.7,9,93.1,13,1,8.6,3,104,116,11.6,10.4,3.71
Chris Lawson,199517,WR,WASHINGTON,9,12.5,1,76.9,66.7,2,3,0,0.0,0,5,340,1,80.9,20.0,66.4,,64.8,0.0,0,0,42,0.0,0,50,0,10,94.0,47,40.0,20,103.0,13,0,60.0,30,115,40,4.0,11.5,2.45
Blake Smith,124341,TE,TEXAS ST,9,7.8,1,84.6,100.0,1,1,0,0.0,0,6,314,0,64.9,68.3,59.0,50.5,57.0,34.9,67,0,22,15.1,29,192,0,11,79.2,152,42.2,81,102.6,13,0,21.4,41,112,37,3.4,10.2,0.74
Jaylon Hawkins,204520,WR,S DIEGO ST,3,17.4,0,53.8,66.7,2,3,0,0.0,0,2,284,0,78.5,69.6,63.3,,60.7,0.0,0,0,35,0.0,0,50,0,7,98.0,49,16.0,8,69.4,13,0,84.0,42,70,14,2.0,10.0,1.43
Daylan McCutcheon,199304,WR,TEXAS,12,4.7,2,53.8,0.0,0,1,1,12.5,1,4,311,0,58.9,68.7,52.5,,55.7,0.0,0,0,26,0.0,0,93,1,7,94.6,88,54.8,51,70.7,13,0,45.2,42,74,63,9.0,10.6,0.84
Derrick Avery Jr.,204904,WR,GA STATE,12,20.0,0,30.8,33.3,1,3,0,33.3,2,3,175,0,26.0,65.0,48.9,,49.5,0.0,0,0,20,0.0,0,146,0,4,93.8,137,13.7,20,68.1,13,1,86.3,126,46,23,5.8,11.5,0.34
Stacy Sneed,123680,HB,HOUSTON,10,1.3,1,66.7,,0,0,0,20.0,2,3,182,0,47.4,80.5,60.8,10.4,60.3,0.0,0,0,24,17.5,11,63,0,8,79.4,50,7.9,5,81.3,12,0,4.8,3,68,75,9.4,8.5,1.36
Deakon Tonielli,176224,TE,MICHIGAN,8,8.0,0,66.7,66.7,2,3,0,11.1,1,2,222,0,59.3,67.1,57.4,64.5,57.9,29.5,23,2,28,1.3,1,78,0,8,91.0,71,57.7,45,43.1,12,0,11.5,9,72,28,3.5,9.0,1.01
Waymond Jordan,199407,HB,USC,6,-0.8,5,58.3,0.0,0,1,0,22.2,2,3,326,0,38.0,55.4,81.6,84.3,42.2,0.0,0,0,20,20.8,21,101,1,7,74.3,75,4.0,4,69.8,12,0,4.0,4,55,93,13.3,7.9,0.73
Clay Ash,183873,HB,W VIRGINIA,8,-1.2,1,83.3,,0,0,0,0.0,0,2,343,0,80.9,81.3,60.8,60.3,59.8,1.1,1,0,15,34.1,31,91,0,10,63.7,58,9.9,9,87.2,12,0,13.2,12,59,78,7.8,5.9,1.02
Justin Marshall,173460,HB,COLO STATE,10,-1.3,8,66.7,,0,0,0,20.0,2,3,144,0,41.6,60.1,73.1,22.6,58.1,0.0,0,0,27,12.3,9,73,0,8,83.6,61,12.3,9,83.3,12,0,2.7,2,74,75,9.4,9.3,1.21
Kamron Beachem,146047,TE,FRESNO ST,13,9.1,0,58.3,50.0,1,2,0,22.2,2,4,169,0,41.2,68.3,54.1,77.9,52.7,56.6,64,2,64,10.6,12,113,4,7,82.3,93,35.4,40,57.3,12,0,8.0,9,133,80,11.4,19.0,1.43
Kameron Anthony,189743,TE,BALL ST,12,8.2,1,58.3,,0,0,0,22.2,2,5,117,0,29.0,66.7,45.7,60.9,56.2,84.3,166,1,40,47.7,94,197,2,7,51.3,101,12.2,24,96.2,12,2,2.0,4,117,64,9.1,16.7,1.16
Eric Nelson,189779,WR,FIU,11,13.1,0,66.7,40.0,2,5,0,11.1,1,7,166,0,58.9,67.1,62.8,41.3,63.1,0.0,0,2,34,0.0,0,105,0,8,89.5,94,12.4,13,89.2,12,1,87.6,92,125,31,3.9,15.6,1.33
Jordan Marshall,190837,HB,MICHIGAN,11,-1.1,4,75.0,,0,0,0,18.2,2,4,222,0,44.3,90.2,87.8,65.7,55.6,0.7,1,0,25,30.3,43,142,0,9,65.5,93,4.9,7,96.5,12,0,2.1,3,92,99,11.0,10.2,0.99
Ca'Lil Valentine,183515,HB,ILLINOIS,13,-2.4,2,83.3,,0,0,0,16.7,2,3,187,0,49.5,67.6,69.6,49.6,51.9,0.0,0,0,18,20.8,20,96,1,10,74.0,71,5.2,5,85.8,12,0,5.2,5,55,89,8.9,5.5,0.77
La'Vell Wright,146736,HB,W KENTUCKY,13,-0.9,1,75.0,,0,0,0,10.0,1,5,346,0,61.0,86.4,78.8,89.0,61.4,0.0,0,0,22,30.2,35,116,0,9,67.2,78,6.9,8,119.8,12,1,2.6,3,79,89,9.9,8.8,1.01
Mylan Graham,193180,WR,OHIO STATE,12,14.3,2,50.0,0.0,0,3,0,14.3,1,5,260,0,53.8,66.2,66.1,,64.5,0.0,0,0,23,0.0,0,61,0,6,96.7,59,9.8,6,76.0,12,0,90.2,55,93,45,7.5,15.5,1.58
Quincy Burroughs,164137,WR,W KENTUCKY,11,7.9,1,66.7,100.0,1,1,0,20.0,2,4,346,0,44.3,67.5,54.9,,53.4,0.0,0,0,20,0.0,0,105,1,8,93.3,98,8.6,9,112.2,12,1,91.4,96,77,35,4.4,9.6,0.79
Jake Newell,163273,TE,AKRON,6,4.0,1,33.3,0.0,0,1,0,33.3,2,0,102,0,26.0,65.0,43.7,60.3,41.0,59.5,75,0,5,21.4,27,126,2,4,73.0,92,17.5,22,42.4,12,0,23.0,29,14,9,2.3,3.5,0.15
Tuli Tagovailoa-Amosa,199152,WR,S JOSE ST,9,7.2,0,66.7,66.7,2,3,0,11.1,1,1,285,0,61.0,68.1,54.7,,54.5,0.0,0,0,29,0.0,0,79,1,8,93.7,74,98.7,78,80.9,12,0,1.3,1,67,6,0.8,8.4,0.91
Gabe Glover,204935,WR,JVILLE ST,13,9.9,1,33.3,0.0,0,2,0,33.3,2,1,196,0,25.7,75.6,53.9,43.6,49.1,1.8,1,1,11,3.6,2,55,0,4,90.9,50,25.5,14,7.6,12,0,70.9,39,28,32,8.0,7.0,0.56
Darien Williams,204310,WR,SYRACUSE,7,8.1,2,66.7,100.0,2,2,0,20.0,2,4,304,0,41.2,68.2,58.9,,59.6,0.0,0,0,35,0.0,0,76,1,8,94.7,72,90.8,69,120.5,12,1,9.2,7,101,71,8.9,12.6,1.4
Omiri Wiggins,183950,HB,LA TECH,12,-3.8,3,91.7,,0,0,0,8.3,1,4,208,0,64.6,87.0,80.4,64.2,59.8,0.0,0,0,17,34.7,41,118,0,11,63.6,75,10.2,12,115.6,12,1,1.7,2,61,103,9.4,5.5,0.81
Javon Brown,190119,WR,TOLEDO,11,15.8,1,66.7,100.0,1,1,0,11.1,1,7,316,0,58.9,67.1,68.5,,67.7,0.0,0,1,46,0.0,0,66,0,8,93.9,62,12.1,8,102.8,12,1,87.9,58,156,55,6.9,19.5,2.52
Alexander Diggs,160375,HB,KENNESAW,11,0.2,0,83.3,100.0,2,2,0,0.0,0,4,200,0,80.9,46.6,67.2,54.2,63.7,0.0,0,0,14,36.9,41,111,0,10,62.2,69,18.9,21,83.7,12,0,0.9,1,49,53,5.3,4.9,0.71
Brendan Jenkins,177870,WR,S ALABAMA,9,8.9,0,75.0,50.0,2,4,0,0.0,0,6,288,0,80.1,67.5,61.6,,62.4,0.0,0,0,30,0.0,0,100,2,9,92.0,92,13.0,13,133.0,12,1,87.0,87,117,36,4.0,13.0,1.27
Judah Ezinwa,170510,TE,UTEP,5,10.1,2,33.3,50.0,1,2,0,20.0,1,3,330,0,45.4,65.0,58.7,57.1,56.3,34.8,39,3,33,31.3,35,112,0,4,64.3,72,40.2,45,16.7,12,0,4.5,5,76,47,11.8,19.0,1.06
Isaiah Rudison,175684,HB,NEW MEX ST,11,1.1,2,75.0,100.0,1,1,0,10.0,1,2,242,0,61.0,57.1,65.0,81.8,56.0,0.0,0,1,14,42.0,47,112,0,9,52.7,59,2.7,3,45.1,12,0,1.8,2,44,43,4.8,4.9,0.75
Max Rodarte,184120,WR,OHIO,4,10.7,1,58.3,66.7,2,3,0,12.5,1,5,259,0,56.4,72.9,60.9,,59.6,0.0,0,1,24,0.0,0,103,0,7,95.1,98,8.7,9,45.8,12,0,91.3,94,86,29,4.1,12.3,0.88
Garrett Mmahat,158421,WR,TULANE,6,6.9,2,83.3,100.0,2,2,0,0.0,0,8,319,1,80.9,19.7,72.6,,72.2,0.0,0,1,22,0.0,0,47,0,10,95.7,45,72.3,34,75.0,12,0,27.7,13,124,56,5.6,12.4,2.76
Henry Dryden,204752,TE,C MICHIGAN,13,4.1,0,66.7,0.0,0,4,0,11.1,1,3,134,0,61.4,68.1,55.2,46.2,60.0,83.5,96,0,23,31.3,36,115,1,8,64.3,74,2.6,3,81.9,12,0,5.2,6,70,32,4.0,8.8,0.95
Eli Green,148152,WR,IOWA STATE,12,8.6,2,91.7,75.0,3,4,0,0.0,0,5,193,0,81.5,68.2,62.6,,61.9,0.0,0,0,21,0.0,0,93,1,11,93.5,87,39.8,37,109.4,12,0,60.2,56,123,32,2.9,11.2,1.41
Dayton Howard,170151,WR,IOWA,10,13.1,0,66.7,100.0,5,5,0,0.0,0,6,192,0,79.3,67.1,58.8,,58.4,0.0,0,1,42,0.0,0,124,0,8,96.0,119,14.5,18,82.3,12,1,85.5,106,91,20,2.5,11.4,0.76
Isaiah Alston,121550,WR,JAMES MAD,12,11.3,2,58.3,75.0,3,4,0,12.5,1,5,197,0,59.3,67.3,64.5,,64.7,0.0,0,1,20,0.0,0,77,3,7,83.1,64,24.7,19,83.7,12,2,75.3,58,81,15,2.1,11.6,1.27
Landon Morris,144060,TE,CAL,12,12.3,0,58.3,25.0,1,4,0,12.5,1,6,130,0,56.4,66.7,54.8,66.3,56.6,44.9,48,0,26,12.1,13,107,0,7,87.9,94,47.7,51,122.9,12,2,5.6,6,94,21,3.0,13.4,1.0
Jake Young,162766,TE,CHARLOTTE,12,7.2,2,33.3,,0,0,0,33.3,2,2,136,0,33.4,66.2,51.2,69.7,49.7,53.4,78,1,12,21.9,32,146,0,4,74.0,108,30.1,44,7.6,12,0,4.8,7,30,11,2.8,7.5,0.28
J.C. Sivley,163028,TE,UAB,9,4.8,0,50.0,100.0,1,1,0,0.0,0,2,321,0,78.5,66.7,48.8,64.3,55.9,76.1,124,1,21,32.5,53,163,1,6,64.4,105,17.2,28,29.5,12,0,4.9,8,59,36,6.0,9.8,0.56
Michael Pettway,142023,WR,JVILLE ST,9,4.4,1,66.7,,0,0,0,11.1,1,3,196,0,58.9,77.9,55.3,,55.5,0.0,0,0,18,0.0,0,99,1,8,97.0,96,31.3,31,78.1,12,0,68.7,68,59,56,7.0,7.4,0.61
Sesi Vailahi,174313,HB,OKLA STATE,9,-1.3,2,66.7,,0,0,0,20.0,2,2,262,0,41.2,32.7,57.8,56.4,47.0,1.4,1,0,16,16.7,12,72,0,8,80.6,58,6.9,5,76.4,12,0,6.9,5,54,67,8.4,6.8,0.93
Jake Overman,131748,TE,PITTSBURGH,11,2.4,1,83.3,,0,0,0,0.0,0,4,268,0,81.5,68.7,52.3,45.6,56.9,57.0,73,0,14,14.8,19,128,3,10,79.7,102,19.5,25,121.5,12,1,17.2,22,78,59,5.9,7.8,0.76
Royal Capell,199055,WR,OKLA STATE,11,3.9,2,83.3,75.0,3,4,0,0.0,0,4,262,1,80.9,25.8,54.9,62.1,52.4,0.0,0,0,13,1.3,1,80,0,10,96.3,77,95.0,76,83.0,12,0,5.0,4,47,36,3.6,4.7,0.61
