player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Danny Scudero,170781,WR,S JOSE ST,12,12.6,18,56.4,39.1,9,23,0,11.1,11,45,285,2,58.7,44.8,74.3,,75.0,0.0,0,5,72,0.0,0,535,0,88,94.8,507,89.5,479,91.8,156,10,8.8,47,1299,479,5.4,14.8,2.56
Jacob De Jesus,174068,WR,CAL,13,7.8,14,69.0,38.9,7,18,1,7.0,8,50,130,2,75.1,66.6,73.2,61.9,76.3,1.3,7,4,41,0.2,1,525,1,107,93.9,493,57.1,300,89.4,155,6,37.7,198,1030,489,4.6,9.6,2.09
Skyler Bell,145163,WR,UCONN,13,8.3,15,72.3,65.0,13,20,0,3.8,4,50,146,2,87.0,45.0,81.6,,85.1,0.0,0,1,80,0.0,0,434,5,102,94.2,409,36.4,158,128.0,141,13,61.1,265,1282,835,8.2,12.6,3.13
Malachi Toney,200155,WR,MIAMI FL,16,6.0,33,78.4,61.5,8,13,1,0.9,1,58,220,3,95.0,58.9,87.6,79.8,88.5,1.9,10,3,61,0.4,2,520,4,109,93.5,486,81.5,424,118.0,139,10,12.9,67,1211,841,7.7,11.1,2.49
Easton Messer,163051,WR,FAU,12,6.6,21,77.2,68.8,11,16,0,5.4,6,50,165,2,80.8,57.1,75.4,78.7,75.4,0.0,0,3,55,0.4,2,553,0,105,93.7,518,93.5,517,104.4,136,6,5.2,29,1059,558,5.3,10.1,2.04
Ted Hurst,187922,WR,GA STATE,12,12.6,18,57.3,59.3,16,27,0,9.0,7,49,175,0,67.1,75.5,82.0,,82.1,0.0,0,7,70,0.0,0,442,0,71,93.4,413,16.3,72,76.0,124,6,83.7,370,999,374,5.3,14.1,2.42
Corey Rucker,121539,WR,ARK STATE,13,12.6,21,58.9,43.8,14,32,0,8.8,7,45,113,1,63.0,55.9,66.4,,68.5,0.0,0,3,71,0.0,0,580,2,73,94.1,546,16.9,98,86.4,124,4,83.1,482,1029,406,5.6,14.1,1.88
Eric McAlister,145976,WR,TCU,13,12.0,27,59.7,37.9,11,29,2,7.8,6,49,305,3,70.0,24.1,76.1,61.9,77.5,0.0,0,7,85,0.2,1,475,6,71,95.2,452,21.9,104,96.4,119,10,78.1,371,1173,560,7.9,16.5,2.6
Junior Vandeross III,163156,WR,TOLEDO,13,8.8,16,70.3,58.3,7,12,0,9.8,9,47,316,0,63.8,76.3,81.3,,84.1,1.5,6,2,71,0.0,0,409,1,83,94.4,386,81.4,333,120.3,118,11,17.1,70,1008,506,6.1,12.1,2.61
Pofele Ashlock,158166,WR,HAWAII,13,10.1,13,65.0,66.7,10,15,0,13.6,12,46,180,0,49.6,75.7,65.3,,64.8,0.0,0,3,47,0.0,0,547,2,76,95.2,521,89.2,488,97.8,117,8,10.8,59,827,180,2.4,10.9,1.59
